MEM_MATCH_ID,richness,RA_cen,DEC_cen,Z_LAMBDA,P_CEN1,Mr01_BCG,color_BCG,M200m_h07
2,202.63603,250.08254838650885,46.71153135360437,0.23251309,0.99687505,-22.84987,1.0071278,2.0789174925560232E15
3,165.29185,197.87295717057873,-1.3411162795331073,0.18218558,0.6963317,-23.14949,0.9434757,1.6683790704303028E15
5,176.19917,137.30074463519105,10.97359493545774,0.17028692,0.7581133,-22.1601,0.75712395,1.7875877545258262E15
6,190.99649,203.83372267931975,41.0011464409052,0.2315964,0.9996656,-23.186392,1.109909,1.950251415569956E15
8,153.39297,150.55890608070382,20.537949366927045,0.3244952,0.96790963,-22.824154,0.9648037,1.5390513309915875E15
11,134.5836,126.37109233508451,47.133571302130925,0.12746543,0.9993387,-23.552956,1.0042515,1.336271684245622E15
14,185.76404,260.61325903724463,32.1325684169872,0.22935009,0.5786304,-24.091629,1.0498009,1.8926128296846055E15
15,154.64389,139.47258307756059,51.72709579554531,0.22647297,0.95591414,-23.519749,0.96141624,1.5526103749845872E15
16,155.17781,198.7718158882512,51.81744555739532,0.28421912,0.9999876,-23.469124,1.002346,1.558400999066326E15
19,152.21835,234.91872006377525,34.424246265680814,0.23349011,0.8486983,-22.56123,1.0665283,1.5263266953287125E15
22,122.394875,113.08464441122482,31.68908325987094,0.18044393,0.75471306,-22.15097,0.9321861,1.2060560269718502E15
23,173.88042,140.10745632464003,30.49408354714214,0.29890603,0.59453213,-22.961134,0.99552727,1.7621947790968845E15
24,126.39168,203.53617058603754,20.248055260620564,0.17051415,0.49025103,-22.218014,1.0186596,1.2486454023889132E15
31,141.21951,130.7398189043654,36.36646003953564,0.29703626,0.9572037,-22.81871,1.0747623,1.4075683877430932E15
33,107.53653,213.60024185108855,-0.3776437738556696,0.13761522,0.9975447,-23.023743,0.97665596,1.0487298875425431E15
34,158.30508,174.05435379455596,40.043272298621616,0.2961091,0.67696,-22.71608,0.9911556,1.5923466434622895E15
40,152.79803,203.16004737928918,50.5599991282856,0.28989393,0.9796519,-22.967098,0.9952984,1.5326056491268882E15
42,116.93359,250.85573517133366,13.376636911666866,0.1874965,0.7114289,-22.310793,1.0604057,1.148041567729448E15
43,135.59042,210.25219989055893,2.8638091045806404,0.25699395,0.48697284,-21.678463,1.0608482,1.3470710738143975E15
44,138.79398,188.56728230785902,15.252336618148355,0.28050223,0.98916036,-21.99755,1.0836067,1.3814761174929692E15
46,129.56471,161.87087891344262,15.233911753538266,0.20853046,0.9134853,-22.393984,1.0653324,1.2825339188643425E15
47,100.27516,227.54880323874056,33.486467734774344,0.119462,0.99299353,-23.177689,0.9740677,9.72460623768146E14
53,93.31889,141.0641936219786,14.128372527625203,0.13577498,0.53295296,-21.87044,1.0380859,8.998090860628112E14
57,129.70201,16.230713631398995,0.06009308302478193,0.27656022,0.9984065,-22.849388,1.0136471,1.2840018903644808E15
58,147.4893,192.37885105943317,49.81731095045646,0.28379747,0.56914073,-21.844475,1.0457821,1.4751784428616142E15
59,133.33269,180.30082787194647,23.09925038899426,0.26856866,0.9569348,-22.042135,0.9799423,1.3228626552067402E15
60,127.734116,340.492031496632,17.55103632270048,0.32347572,0.58917093,-22.874067,0.86974716,1.2629746354642882E15
63,104.348236,216.4861180873681,37.81645558713522,0.17042817,0.9725144,-23.011963,1.019371,1.015189447134407E15
69,124.83567,196.6903807644386,46.55854788414414,0.22899516,0.8893503,-23.377192,1.0037174,1.2320517928671252E15
73,105.202515,145.5046343603243,8.972202722269262,0.20895283,0.7937638,-22.135399,0.94813156,1.0241684287581394E15
75,125.17128,154.39302393136964,59.561061039218615,0.2894866,0.5337334,-22.41578,0.8755398,1.2356294923809135E15
77,135.42262,187.6272735716658,34.63372467922722,0.33720168,0.6061318,-22.817715,1.0051861,1.3452705326327818E15
79,113.47071,170.99501800005066,21.480468465308213,0.19020481,0.80675703,-22.30172,0.9217262,1.1113673393359425E15
85,116.384415,201.75420950276046,2.2054218806332626,0.25981492,0.982346,-23.108648,1.0659542,1.14221969288111E15
88,88.63561,24.3238920646848,7.914298791121644,0.26562357,0.5019151,-21.978367,0.95485306,8.511382574716844E14
89,93.273125,225.08132425492164,21.36941389251641,0.15932073,0.9992588,-22.862232,0.9541321,8.993323095548571E14
93,93.212105,172.47733653413025,20.419542855322767,0.13409767,0.9615214,-22.308998,0.98202324,8.986970004960471E14
95,118.13873,178.4715914708339,42.87034577021864,0.33314458,0.59224784,-22.515442,1.076458,1.1608254348241075E15
99,112.03674,139.07315528677307,-0.4015762682731477,0.33240458,0.46331537,-22.51611,1.0071964,1.0962067378172034E15
103,112.81475,117.75313829352672,17.631601791615033,0.18401514,0.44668344,-22.02482,0.9955635,1.1044304207598092E15
106,78.53682,177.21795786200832,51.55222322857257,0.1342549,0.64129275,-22.356659,0.9943676,7.468997509406798E14
107,125.4001,163.57309680027458,14.651168356742815,0.29755804,0.9982601,-23.138126,1.0241528,1.238069098786389E15
116,99.375114,187.68032451260882,10.578599776044475,0.16777365,0.9975055,-22.513947,1.003336,9.630370214649949E14
120,91.27473,164.5986581467896,56.79500423032896,0.14049742,0.9996665,-22.95108,0.99409294,8.785405617706918E14
123,110.11462,0.7982613503413916,-6.091694414143024,0.2476667,0.743068,-23.065195,1.0668049,1.0759095599711555E15
127,90.61876,37.92154943024108,-4.8826222440050415,0.18922953,0.85244995,-22.626663,1.0296783,8.717234489857886E14
129,86.728745,218.86865035008825,55.13118154568779,0.13977271,0.9729255,-22.837784,0.99918175,8.313794398283435E14
131,112.79949,137.77332658452573,61.12982540020802,0.28982484,0.9794939,-23.390574,1.0255623,1.1042690193980569E15
134,108.65014,4.911069186700388,3.599256912667336,0.2772425,0.9095744,-23.176443,0.9685879,1.0604637572793812E15
136,78.07917,228.8087976940228,4.386217797780727,0.10223658,0.6622619,-22.230259,0.95801353,7.422004232281876E14
137,73.96033,136.6871742577847,10.317327363252254,0.14019538,0.80712914,-21.608809,0.9771538,7.000062241324399E14
139,115.81998,221.13247476311693,31.226671188030405,0.23795605,0.9992286,-22.954395,1.0344753,1.136237966503044E15
142,122.501656,244.04236714834877,6.917901644385108,0.33280623,0.9419407,-22.973663,0.9280033,1.2071923693138468E15
147,105.629654,355.3209240736287,-9.019937198069817,0.25941512,0.9468083,-22.1414,1.0182495,1.0286601881931958E15
153,109.84003,323.8282403352161,1.4241695378190495,0.2345301,0.9545896,-22.398228,0.99497986,1.0730122626975639E15
154,82.12174,10.32710489474789,25.43585063121003,0.13755645,0.9986706,-22.430122,0.9902363,7.837868158637362E14
163,79.78773,217.60998832428777,24.619803823594072,0.13705893,0.36710188,-21.619837,0.9025612,7.597560938560539E14
173,112.9673,187.26057191239275,47.62237914373845,0.2528977,0.90182745,-22.848051,1.083252,1.1060433591168404E15
175,84.79136,140.62124137239124,54.996458978834454,0.18274438,0.9939516,-23.09443,1.0315552,8.113400430271104E14
178,84.33371,204.20577641853038,10.440019004466865,0.15673046,0.9999917,-22.897945,0.9695549,8.066115364629544E14
183,82.45735,210.9952639833258,15.735987214638598,0.18051805,0.9932694,-22.144396,1.0154476,7.872468416384326E14
184,83.03704,215.41700165605596,37.29129936065824,0.16300766,0.9837751,-23.200947,0.914135,7.932257212161124E14
192,106.6975,175.60324812019965,58.534877228397455,0.33533686,0.9740603,-23.622965,0.92251396,1.039895753862397E15
193,89.2153,152.80422265706412,-2.0432048010435935,0.20174848,0.7169164,-22.667248,1.0321884,8.571516370383146E14
195,95.77494,185.67209349312708,2.0997009148511507,0.22898613,0.88572395,-22.54165,1.0565681,9.25412177700065E14
201,97.94115,201.84549713948246,3.629195635850618,0.22027463,0.99995935,-22.864967,1.0134315,9.48037800779472E14
204,84.73034,248.469414354243,24.58329274045978,0.18938296,0.4419466,-22.184675,1.0202446,8.107094851032232E14
209,91.62559,134.4751076896024,3.176436508203182,0.2005972,0.9972015,-22.493183,0.9894562,8.821883259242116E14
215,102.47188,223.05448193839214,37.881090670959146,0.28720772,0.9785678,-22.657112,1.0571365,9.954886343109531E14
220,91.33575,184.48662777963824,20.671367522784987,0.21453334,0.92231464,-22.99363,0.97675514,8.791748272235002E14
221,96.43091,131.5727437563899,5.134378654131286,0.23975196,0.4347176,-22.053799,1.0349979,9.322594336568366E14
225,82.96076,125.83033267095192,15.96272470961174,0.15618388,0.99998426,-22.652332,0.9745636,7.924388062850448E14
226,106.28562,142.7069494638422,28.852226107210573,0.29946157,0.99476004,-22.311218,1.0190525,1.0355608246545294E15
